Average Cost	Units	Precision SD	Weight Final	Weight Rem	Stamp Ops	Chisel Ops	Labor Hours	Machine Hours	Cost Metal/Kg	Room Temp	Breakdowns	recipUnits	Breakdown/Unit	Total Metal Cost	SqTempDev	Detail	Rush	Manager	Music	Shift	Plant
40.48	140	1	0.41	0.661	13	12	0.583	0.017	4.18	75	0	0.00714286	0	4.47678	0	NONE	RUSH	JEAN	ROCK	NIGHT	NEW
53.68	120	0.5	0.36	0.4542	13	9	0.583	0.033	4.03	76	0	0.00833333	0	3.281226	1	DETAIL	NONE	RANDY	NONE	DAY	OLD
40.2	1400	1	0.52	2.2657	12	12	0.217	0.033	1.07	68.5	23	0.00071429	0.01642857	2.980699	42.25	NONE	RUSH	RANDY	NONE	DAY	OLD
22.5	1800	1	0.5	2.2643	12	12	0.267	0.033	1.2	77.5	15	0.00055556	0.00833333	3.31716	6.25	NONE	RUSH	PAT	NONE	NIGHT	OLD
34.88	160	0.1	0.325	0.6171	6	7	0.383	0.017	1.29	79	0	0.00625	0	1.215309	16	DETAIL	NONE	LEE	NONE	DAY	OLD
37.33	600	0.1	0.28	0.3931	11	10	0.317	0.017	4.96	74.5	0	0.00166667	0	3.338576	0.25	DETAIL	NONE	TERRY	ROCK	DAY	NEW
37.2	240	1	0.32	0.6009	7	5	0.25	0.017	1.52	65.5	6	0.00416667	0.025	1.399768	90.25	NONE	RUSH	LEE	NONE	DAY	OLD
34	290	0.1	0.37	1.5174	8	10	0.367	0.017	1.15	74.5	0	0.00344828	0	2.17051	0.25	DETAIL	NONE	TERRY	ROCK	DAY	NEW
35.34	800	0.5	0.41	1.4967	12	14	0.333	0.05	0.8	69.5	3	0.00125	0.00375	1.52536	30.25	NONE	RUSH	LEE	NONE	DAY	OLD
36.88	170	0.5	0.43	2.3693	7	12	0.317	0.033	0.95	73.5	1	0.00588235	0.00588235	2.659335	2.25	NONE	RUSH	RANDY	NONE	DAY	OLD
23.75	600	0.5	0.4	1.7688	14	14	0.333	0.017	1.05	76.5	0	0.00166667	0	2.27724	2.25	NONE	RUSH	JEAN	POP	NIGHT	NEW
39.03	180	0.5	0.3	1.0849	10	14	0.417	0.05	1.37	82.5	0	0.00555556	0	1.897313	56.25	NONE	RUSH	PAT	NONE	DAY	OLD
40.34	110	0.1	0.265	0.1364	7	5	0.467	0.017	4.43	73.5	0	0.00909091	0	1.778202	2.25	DETAIL	NONE	LEE	NONE	DAY	OLD
36.97	600	0.5	0.45	2.2326	12	13	0.467	0.05	0.74	81.5	7	0.00166667	0.01166667	1.985124	42.25	NONE	RUSH	PAT	NONE	NIGHT	OLD
42.09	130	0.5	0.32	1.1782	8	8	0.4	0.033	1.7	80.5	1	0.00769231	0.00769231	2.54694	30.25	NONE	RUSH	RANDY	NONE	DAY	OLD
26.46	300	0.5	0.56	1.4353	7	6	0.317	0.017	1	74.5	1	0.00333333	0.00333333	1.9953	0.25	DETAIL	NONE	JEAN	ROCK	DAY	NEW
38.01	160	0.1	0.62	3.0843	11	13	0.467	0.05	0.82	81.5	2	0.00625	0.0125	3.037526	42.25	DETAIL	NONE	LEE	NONE	DAY	OLD
28.5	300	1	0.29	0.2668	9	7	0.267	0.017	3.19	75.5	7	0.00333333	0.02333333	1.776192	0.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
40.05	130	0.1	0.33	0.0495	5	1	0.4	0	4.01	88.5	0	0.00769231	0	1.521795	182.25	DETAIL	RUSH	LEE	NONE	NIGHT	OLD
24.8	600	1	0.48	0.8343	5	6	0.167	0.017	1.04	75	4	0.00166667	0.00666667	1.366872	0	NONE	RUSH	RANDY	NONE	DAY	OLD
33.59	160	0.5	0.33	0.9375	11	13	0.483	0.05	0.96	65.5	0	0.00625	0	1.2168	90.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
37.29	500	0.5	0.49	1.6849	12	11	0.4	0.017	0.66	76.5	1	0.002	0.002	1.435434	2.25	DETAIL	NONE	JEAN	ROCK	DAY	NEW
34.39	120	0.5	0.33	0.8794	7	10	0.45	0.017	1.35	76	0	0.00833333	0	1.63269	1	NONE	NONE	TERRY	ROCK	DAY	NEW
43.19	100	0.5	0.295	0.4591	14	9	0.55	0.033	5.19	71	0	0.01	0	3.913779	16	NONE	RUSH	LEE	NONE	NIGHT	OLD
30.37	400	0.5	0.43	0.5915	7	5	0.3	0.017	1.02	74	0	0.0025	0	1.04193	1	DETAIL	NONE	TERRY	NONE	DAY	NEW
47.85	150	0.1	0.53	3.151	12	13	0.517	0.05	0.93	64	1	0.00666667	0.00666667	3.42333	121	DETAIL	NONE	PAT	NONE	DAY	OLD
35.14	300	0.5	0.395	2.1504	10	15	0.367	0.017	0.98	74	3	0.00333333	0.01	2.494492	1	DETAIL	NONE	JEAN	JAZZ	DAY	NEW
38.81	500	0.1	0.45	1.5091	11	10	0.333	0.017	1.41	75	0	0.002	0	2.762331	0	DETAIL	NONE	JEAN	ROCK	DAY	NEW
43.56	110	0.5	0.375	0.7941	13	9	0.5	0.017	2.74	74	0	0.00909091	0	3.203334	1	NONE	RUSH	TERRY	POP	DAY	NEW
43.21	300	0.1	0.215	0.5595	21	18	0.533	0.067	3.7	70.5	4	0.00333333	0.01333333	2.86565	20.25	DETAIL	NONE	PAT	NONE	DAY	OLD
48.97	110	0.1	0.4	1.4467	14	12	0.583	0.017	1.04	75.5	1	0.00909091	0.00909091	1.920568	0.25	DETAIL	NONE	TERRY	POP	DAY	NEW
42.47	130	0.5	0.41	1.0159	6	7	0.367	0.017	0.9	93	0	0.00769231	0	1.28331	324	NONE	RUSH	RANDY	NONE	DAY	OLD
41.4	180	0.1	0.395	2.223	17	19	0.55	0.067	1.24	70	0	0.00555556	0	3.24632	25	DETAIL	NONE	LEE	NONE	DAY	OLD
39.86	100	0.1	0.32	1.8779	8	12	0.533	0.033	1.44	72	0	0.01	0	3.164976	9	DETAIL	NONE	LEE	NONE	DAY	OLD
47.39	120	1	0.41	2.9865	18	17	0.567	0.05	0.69	61.5	1	0.00833333	0.00833333	2.343585	182.25	NONE	RUSH	RANDY	NONE	DAY	OLD
